File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF713MNU	fastq	fastq		reads		ENCSR181ZGR	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	1	/files/ENCFF478DZZ/			1973073029	Eric Lécuyer, IRCM	571086108473ef11599c5447a38d4b86	SRA:SRR4421447	https://www.encodeproject.org/files/ENCFF713MNU/@@download/ENCFF713MNU.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/c5c4af77-06e4-4e9f-b4d5-a0df238c6a8b/ENCFF713MNU.fastq.gz					
ENCFF446UEC	fastq	fastq		reads		ENCSR181ZGR	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	2	/files/ENCFF936SLY/			855948837	Eric Lécuyer, IRCM	06c4c217b35af099517029b36474bfa3	SRA:SRR4421448	https://www.encodeproject.org/files/ENCFF446UEC/@@download/ENCFF446UEC.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/51f75db4-421e-4022-b823-906c26bc10e9/ENCFF446UEC.fastq.gz					
ENCFF478DZZ	fastq	fastq		reads		ENCSR181ZGR	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	2	/files/ENCFF713MNU/			2017906367	Eric Lécuyer, IRCM	1362e3ea811f8de2f61ce26f4f3d2e4d	SRA:SRR4421447	https://www.encodeproject.org/files/ENCFF478DZZ/@@download/ENCFF478DZZ.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/3a47e0cf-1c31-45de-98f6-9c38bcd4705f/ENCFF478DZZ.fastq.gz					
ENCFF936SLY	fastq	fastq		reads		ENCSR181ZGR	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	1	/files/ENCFF446UEC/			841802971	Eric Lécuyer, IRCM	612ea6fb91deed4d9e15b11f3967c1f5	SRA:SRR4421448	https://www.encodeproject.org/files/ENCFF936SLY/@@download/ENCFF936SLY.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/0b1954ef-9a2e-4da7-8516-9745196e3e5e/ENCFF936SLY.fastq.gz					
ENCFF740UPF	fastq	fastq		reads		ENCSR862HPO	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	2	/files/ENCFF196RCZ/			781795241	Eric Lécuyer, IRCM	9b44ba419ef3c64082b129a6a2d0e49a	SRA:SRR4422395	https://www.encodeproject.org/files/ENCFF740UPF/@@download/ENCFF740UPF.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/f596d889-49d1-4f3a-87e7-d8d2fb607c21/ENCFF740UPF.fastq.gz			low read depth		
ENCFF268FHH	fastq	fastq		reads		ENCSR862HPO	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	1	/files/ENCFF888RBV/			711197867	Eric Lécuyer, IRCM	d3562cc7c765be42cf3fa0fabaf896ac	SRA:SRR4422394	https://www.encodeproject.org/files/ENCFF268FHH/@@download/ENCFF268FHH.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/b1fcb4ff-1a3c-4768-bf0c-868a60a6f637/ENCFF268FHH.fastq.gz			low read depth		
ENCFF196RCZ	fastq	fastq		reads		ENCSR862HPO	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	1	/files/ENCFF740UPF/			752706481	Eric Lécuyer, IRCM	1014f1ddb1898ecc0736f5b35c052b92	SRA:SRR4422395	https://www.encodeproject.org/files/ENCFF196RCZ/@@download/ENCFF196RCZ.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/7ba3e9e7-46fd-4049-976c-c39dc839a582/ENCFF196RCZ.fastq.gz			low read depth		
ENCFF888RBV	fastq	fastq		reads		ENCSR862HPO	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	2	/files/ENCFF268FHH/			737021357	Eric Lécuyer, IRCM	f14e154086713377ab24e8e176da76b8	SRA:SRR4422394	https://www.encodeproject.org/files/ENCFF888RBV/@@download/ENCFF888RBV.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/8d27d634-02ce-4c68-b0cc-142e96952057/ENCFF888RBV.fastq.gz			low read depth		
ENCFF876UIT	fastq	fastq		reads		ENCSR887ZSY	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	1	/files/ENCFF567YOK/			889024449	Eric Lécuyer, IRCM	746410fb2549e948c58d54c6f763ed6b	SRA:SRR4422436	https://www.encodeproject.org/files/ENCFF876UIT/@@download/ENCFF876UIT.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/f2b5323a-0fdd-457f-9e58-41d32184f64f/ENCFF876UIT.fastq.gz					
ENCFF567YOK	fastq	fastq		reads		ENCSR887ZSY	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	2	/files/ENCFF876UIT/			914556251	Eric Lécuyer, IRCM	76a2cdce35dc05cf68dd4250210abf6c	SRA:SRR4422436	https://www.encodeproject.org/files/ENCFF567YOK/@@download/ENCFF567YOK.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/a170531d-8873-4865-bbde-910830da8180/ENCFF567YOK.fastq.gz					
